school_id,school_name,latitude,longitude,backlog_students,gender_parity_index,priority_score,status,contact_number
SCH-1001,"Govt Primary School, Devanahalli Block-6",13.189799,77.539983,31,0.92,0.08,NORMAL,+91-9866254750
SCH-1002,"Govt Primary School, Doddaballapur Block-1",13.133187,77.500374,347,0.87,0.65,CRITICAL,+91-9867730296
SCH-1003,"Govt Primary School, Hoskote Block-8",13.261066,77.583668,23,1.01,0.04,NORMAL,+91-9841862898
SCH-1004,"Govt High School, Ramanagara Block-7",13.266742,77.485781,67,0.77,0.19,NORMAL,+91-9872089258
SCH-1005,"Zilla Parishad School, Magadi Block-4",13.192762,77.573793,76,0.72,0.22,NORMAL,+91-9857816316
SCH-1006,"Govt High School, Magadi Block-9",13.24246,77.47282,66,0.85,0.16,NORMAL,+91-9833807673
SCH-1007,"Zilla Parishad School, Devanahalli Block-1",13.156233,77.595524,77,0.91,0.16,NORMAL,+91-9891630308
SCH-1008,"Govt High School, Magadi Block-5",13.265165,77.571478,47,0.92,0.11,NORMAL,+91-9826185573
SCH-1009,"Zilla Parishad School, Devanahalli Block-1",13.157325,77.516264,45,0.84,0.13,NORMAL,+91-9843358191
SCH-1010,"Zilla Parishad School, Nelamangala Block-9",13.120141,77.577698,58,0.88,0.14,NORMAL,+91-9826771568
SCH-1011,"Zilla Parishad School, Hoskote Block-8",13.207884,77.594581,49,0.95,0.1,NORMAL,+91-9847204361
SCH-1012,"Model Govt School, Magadi Block-9",13.166539,77.6277,62,0.87,0.15,NORMAL,+91-9862095384
SCH-1013,"Govt Primary School, Doddaballapur Block-7",13.183953,77.47449,43,0.78,0.14,NORMAL,+91-9823069255
SCH-1014,"Govt High School, Devanahalli Block-1",13.138387,77.489471,36,0.92,0.09,NORMAL,+91-9810398563
SCH-1015,"Govt High School, Nelamangala Block-8",13.220773,77.487285,55,0.95,0.11,NORMAL,+91-9867200675
SCH-1016,"Adarsha Vidyalaya, Devanahalli Block-8",13.235949,77.578954,252,0.81,0.5,CRITICAL,+91-9896012520
SCH-1017,"Govt Primary School, Devanahalli Block-3",13.206253,77.56851,34,1.02,0.06,NORMAL,+91-9863012434
SCH-1018,"Govt High School, Doddaballapur Block-1",13.152868,77.614274,297,0.94,0.54,CRITICAL,+91-9889955489
SCH-1019,"Model Govt School, Hoskote Block-8",13.120066,77.541539,22,0.69,0.13,NORMAL,+91-9865854454
SCH-1020,"Model Govt School, Devanahalli Block-4",13.277977,77.506303,33,0.91,0.08,NORMAL,+91-9889665914
